Province/State,Country/Region,Latitude,Longitude,Date of action,Action type
,Bolivia,-16.2902,-63.5887,,
Macau,China,22.1667,113.55,,
,Maldives,3.2028,73.2207,,
,Senegal,14.4974,-14.4524,,
,Sri Lanka,7.8731,80.7718,,
District of Columbia,US,38.8974,-77.0268,,
New Mexico,US,34.8405,-106.2485,,
Utah,US,40.15,-111.8624,,
Faroe Islands,Denmark,61.8926,-6.9118,,
,Martinique,14.6415,-61.0242,,
South Dakota,US,44.2998,-99.4388,,
,Jamaica,18.1096,-77.2975,,
,Lithuania,55.1694,23.8813,,
Kansas,US,38.5266,-96.7265,,
,Cambodia,12.5657,104.991,,
New Hampshire,US,43.4525,-71.5639,,
,Kazakhstan,48.0196,66.9237,,
,New Zealand,-40.9006,174.886,,
,Paraguay,-23.4425,-58.4438,,
,Reunion,-21.1151,55.5364,,
Alabama,US,32.3182,-86.9023,,
Delaware,US,39.3185,-75.5071,,
Mississippi,US,32.7416,-89.6787,,
Tasmania,Australia,-41.4545,145.9707,,
Fench Guiana,France,4,-53,,
,French Guiana,3.9339,-53.1258,,
,Turkey,38.9637,35.2433,,
Montana,US,46.9219,-110.4544,,
Vermont,US,44.0459,-72.7107,,
Manitoba,Canada,53.7609,-98.8139,,
,Cuba,21.5218,-77.7812,,
,Liechtenstein,47.166,9.5554,,
Hawaii,US,21.0943,-157.4983,,
Missouri,US,38.4561,-92.2884,,
Oklahoma,US,35.5653,-96.9289,,
,Uruguay,-32.5228,-55.7658,,
,Bangladesh,23.685,90.3563,,
French Polynesia,France,-17.6797,149.4068,,
,Ghana,7.9465,-1.0232,,
Maine,US,44.6939,-69.3819,,
Puerto Rico,US,18.2208,-66.5901,,
,Ukraine,48.3794,31.1656,,
,Aruba,12.5211,-69.9683,,
,Burkina Faso,12.2383,-1.5616,,
,Cameroon,3.848,11.5021,,
Saskatchewan,Canada,52.9399,-106.4509,,
,Congo (Kinshasa),-4.0383,21.7587,,
St Martin,France,18.0708,-63.0501,,
,Honduras,15.2,-86.2419,,
,Jersey,49.19,-2.11,,
,Monaco,43.7384,7.4246,,
,Namibia,-22.9576,18.4904,,
,Nigeria,9.082,8.6753,,
,Seychelles,-4.6796,55.492,,
,Trinidad and Tobago,10.6918,-61.2225,,
Idaho,US,44.2405,-114.4788,,
Wyoming,US,42.756,-107.3025,,
Channel Islands,United Kingdom,49.3723,-2.3644,,
,Venezuela,6.4238,-66.5897,,
,Andorra,42.5063,1.5218,,
,Antigua and Barbuda,17.0608,-61.7964,,
Australian Capital Territory,Australia,-35.4735,149.0124,,
Northern Territory,Australia,-12.4634,130.8456,,
,Bhutan,27.5142,90.4336,,
New Brunswick,Canada,46.5653,-66.4619,,
,Cayman Islands,19.3133,-81.2546,,
Tibet,China,31.6927,88.0924,,
,Cote d'Ivoire,7.54,-5.5471,,
,Curacao,12.1696,-68.99,,
,Eswatini,-26.5225,31.4659,,
,Ethiopia,9.145,40.4897,,
Saint Barthelemy,France,17.9,-62.8333,,
,Gabon,-0.8037,11.6094,,
,Guadeloupe,16.265,-61.551,,
,Guatemala,15.7835,-90.2308,,
,Guernsey,49.45,-2.58,,
,Guinea,9.9456,-9.6966,,
,Guyana,4.8604,-58.9302,,
,Holy See,41.9029,12.4534,,
,Jordan,30.5852,36.2384,,
,Kenya,-0.0236,37.9062,,
,Mauritania,21.0079,10.9408,,
,Mongolia,46.8625,103.8467,,
,Nepal,28.3949,84.124,,
,Rwanda,-1.9403,29.8739,,
,Saint Lucia,13.9094,-60.9789,,
,Saint Vincent and the Grenadines,12.9843,-61.2872,,
,Sudan,12.8628,30.2176,,
,Suriname,3.9193,-56.0278,,
,Togo,8.6195,0.8248,,
North Dakota,US,47.5289,-99.784,,
"Virgin Islands, U.S.",US,18.3358,-64.8963,,
Gibraltar,United Kingdom,36.1408,-5.3536,,
From Diamond Princess,Australia,35.4437,139.638,,
West Virginia,US,38.4912,-80.9545,,
,occupied Palestinian territory,31.9522,35.2332,,
